Column1,ind,vi,en,lesson
820,820,đại sứ quán,embassy,48
821,821,thị thực,visa,54
822,822,thế giới,world,32
823,823,bản đồ,map,29
824,824,nội địa,domestic,28
825,825,quốc tế,international,50
826,826,du khách,"tourist, tourists",61
827,827,hành trình,journey,68
828,828,chuyến bay,flight,65
829,829,du lịch,"travel, travels",61
830,830,xe máy,motorcycle,82
831,831,hành lý,luggage,40
832,832,xe hơi,car,34
833,833,tàu thuỷ,ship,76
834,834,cuộc phiêu lưu,adventure,45
835,835,ba lô,backpack,63
836,836,lái,"drive, fly (airplane), drives",7
837,837,hôm qua,yesterday,46
838,838,năm ngoái,last year,72
839,839,đã,"has been, have been, were",2
840,840,đã từng,"used to, were, did",61
841,841,đài loan,Taiwan,60
842,842,ai cập,Egypt,24
843,843,nam phi,South Africa,45
844,844,bỉ,Belgium,1
845,845,thái lan,Thailand,77
846,846,hy lạp,Greece,38
847,847,đan mạch,Denmark,66
848,848,phần lan,Finland,74
849,849,thuỵ điển,Sweden,28
850,850,indonesia,"Indonesia, Indonesian",69
851,851,canada,Canada,64
852,852,thổ nhĩ kỳ,Turkey,78
853,853,ba lan,"Poland, Polish",63
854,854,hỏi giờ,ask for the time,32
855,855,rưỡi,"half past, thirty (minutes), a half",16
856,856,kém,"to, weak, bad",69
857,857,lúc,"moment, at, the time",71
858,858,mấy giờ,"what time, what time does ... ?, what time do ... ?",32
859,859,trụ sở chính,headquarters,48
860,860,đường hầm,tunnel,67
861,861,đường phố,"street, streets",45
862,862,hang,cave,68
863,863,làng,village,14
864,864,cầu,bridge,5
865,865,bệnh viện,hospital,59
866,866,bưu điện,post office,28
867,867,tiệm bánh,"bakery, cake shop",22
868,868,thư viện,library,59
869,869,siêu thị,supermarket,51
870,870,trạm xe buýt,"bus station, bus stop",60
871,871,vùng,"region, zone",81
872,872,trung tâm thương mại,"shopping mall, mall",49
873,873,biên giới,border,32
874,874,nông trại,farm,56
875,875,bảo tàng,museum,49
876,876,quảng trường,square,75
877,877,rạp phim,movie theater,45
878,878,hiệu sách,bookstore,68
879,879,tù,"prison, jail, bars",3
880,880,nhà tù,prison,57
881,881,con đường,"path, road, street",31
882,882,quán cà phê,"café, coffee shop, cafe",23
883,883,quận,district,16
884,884,nhà hát,theater,73
885,885,thị trấn,town,77
886,886,toà nhà,building,44
887,887,chợ,market,5
888,888,khu vực,"region, section, zone",70
889,889,địa chỉ,address,24
890,890,công viên,"park, parks",59
891,891,văn phòng,office,45
892,892,lâu đài,"castle, palace",27
893,893,nơi,"site, part, place",9
894,894,nhà thờ,church,52
895,895,phòng ngủ,"bedroom, bedrooms",43
896,896,trung tâm,"center, central",49
897,897,ngôi,(classifier),15
898,898,bãi biển,beach,22
899,899,chùa,"pagoda, temple",13
900,900,thành phố,city,45
901,901,sân,"yard, ground",76
902,902,phòng tắm,"bathroom, bathrooms",49
903,903,phòng khách,"lounge, living room",74
904,904,nhà,"house, home",73
905,905,bếp,kitchen,63
906,906,có thể,"can, may, possibly",51
907,907,cần phải,"need to, need, needs",44
908,908,phải,"is, right, has to",74
909,909,không thể,"cannot, can't",51
910,910,không được,must not,31
911,911,cùng nhau,together,66
912,912,bỗng,suddenly,12
913,913,suýt,"almost, nearly",76
914,914,chưa,"yet, n't, not yet",13
915,915,xung quanh,around,46
916,916,thậm chí,even,24
917,917,dù sao,anyway,61
918,918,khoảng,"about, roughly",69
919,919,nói chung,"generally, to conclude",25
920,920,gần như,"almost, nearly",62
921,921,với nhau,together,81
922,922,ở đây,here,28
923,923,hoàn toàn,"absolutely, completely, totally",56
924,924,một cách,(indicate adverb),71
925,925,ngay lập tức,immediately,38
926,926,lại,again,7
927,927,mặc dù,"though, even though, although",31
928,928,cho dù,even if,31
929,929,tuy nhiên,however,44
930,930,vậy nên,"so, therefore, then",42
931,931,vậy,"then, so, indicate interrogation",12
932,932,vậy mà,but,80
933,933,hơn nữa,"in addition, additionally, moreover",68
934,934,một khi,"once, as soon as",36
935,935,như vậy,"as a result, like that",73
936,936,chỉ,"only, just, show",5
937,937,trừ khi,unless,36
938,938,liềm,sickle,14
939,939,lược,comb,15
940,940,máy tính bảng,tablet,55
941,941,máy giặt,washing machine,32
942,942,nhật ký,diary,37
943,943,kéo,scissors,69
944,944,bút chì,pencil,24
945,945,máy ảnh,camera,21
946,946,quà,"gift, present",10
947,947,dao,knife,61
948,948,diều,kite,61
949,949,nam châm,magnet,72
950,950,thiệp,card,20
951,951,thẻ tín dụng,credit card,55
952,952,bong bóng,"balloon, balloons",23
953,953,màn hình,"screen, monitor",33
954,954,bàn phím,keyboard,45
955,955,tủ lạnh,refrigerator,38
956,956,quạt,fan,75
957,957,nhẫn,ring,16
958,958,kính,glasses,70
959,959,ảnh,photo,4
960,960,cờ,flag,1
961,961,bột,powder,64
962,962,búa,hammer,5
963,963,vật thể,object,51
964,964,máy,machine,8
965,965,thang,ladder,19
966,966,hộp,box,68
967,967,giấy,paper,14
968,968,bàn chải,"toothbrush, brushes, brush",63
969,969,chìa khoá,"key, keys",36
970,970,không bao giờ,never,22
971,971,luôn,always,15
972,972,hiếm khi,rarely,36
973,973,thường xuyên,"usually, regularly, often",78
974,974,đôi khi,sometimes,36
975,975,trống rỗng,empty,79
976,976,no,full,3
977,977,chăm chỉ,hard,24
978,978,xấu,"bad, ugly",82
979,979,quen thuộc,familiar,75
980,980,hơi,"a bit, breath, pretty",7
981,981,dám,"dare, dares",66
982,982,giữ,keep,7
983,983,tắm,"takes a shower, bath, bathing",10
984,984,tìm ra,"find, finds, find out",78
985,985,xứng đáng,deserve,27
986,986,trở lại,"return, returns",38
987,987,sau,"behind, next, then",10
988,988,đối mặt,face,40
989,989,thoả mãn,"satisfied, satisfy",40
990,990,hỗ trợ,"support, supports, supporting",57
991,991,khuyên,"recommended, advises, advised",70
992,992,luyện tập,practice,49
993,993,đánh giá cao,appreciate,31
994,994,hợp tác,cooperate,49
995,995,khẳng định,affirm,29
996,996,trừng phạt,punish,45
997,997,phát hiện,discover,33
998,998,nhận ra,realize,73
999,999,đam mê,passion,41
1000,1000,cả tin,"gullible, credulous",55
1001,1001,quan tâm,"care, considered, cares",49
1002,1002,tử tế,"kind, gracious",20
1003,1003,chuyên nghiệp,professional,42
1004,1004,bảo thủ,conservative,53
1005,1005,tôn trọng,"respect, respects",79
1006,1006,siêng năng,"hard-working, diligent",41
1007,1007,xấu tính,mean,55
1008,1008,tham lam,greedy,38
1009,1009,bất cẩn,careless,24
1010,1010,lười biếng,lazy,22
1011,1011,bất lịch sự,impolite,60
1012,1012,bất lợi,"disadvantage, disadvantageous",39
1013,1013,khiêm tốn,"humble, modest",69
1014,1014,lợi thế,"advantage, advantages",51
1015,1015,may mắn,"lucky, luck",40
1016,1016,tính cách,"characteristic, character, personality",78
1017,1017,chất lượng,"quality, qualities",40
1018,1018,linh hoạt,flexible,34
1019,1019,cạnh tranh,"compete, competing",64
1020,1020,vẻ đẹp,beauty,80
1021,1021,tập trung,"concentrate, focus",76
1022,1022,nhà toán học,mathematician,56
1023,1023,nhà báo,journalist,22
1024,1024,nhà sư,monk,48
1025,1025,nhà lãnh đạo,"leader, leaders",38
1026,1026,nhà khoa học,"scientist, scientists",36
1027,1027,nhà thiết kế,designer,73
1028,1028,kiến trúc sư,architect,60
1029,1029,tương lai,future,38
1030,1030,nha sĩ,"dentist, dentists",73
1031,1031,y tá,nurse,49
1032,1032,nông dân,farmer,27
1033,1033,đầu bếp,cook,66
1034,1034,doanh nhân,"businessman, entrepreneur, businesswoman",43
1035,1035,diễn viên,"actor, actress",59
1036,1036,kỹ sư,engineer,19
1037,1037,ngư dân,fisherman,27
1038,1038,ca sĩ,"singer, singers",64
1039,1039,kế toán,"accountant, accounting",56
1040,1040,công nhân,"worker, workers, a worker",43
1041,1041,cảnh sát,"police, officers, officer",64
1042,1042,nhạc sĩ,"songwriter, songwriters",73
1043,1043,nghệ sĩ,artist,72
1044,1044,nghề nghiệp,"profession, occupation",42
1045,1045,thuyền trưởng,captain,78
1046,1046,luật sư,lawyer,48
1047,1047,sự nghiệp,career,42
1048,1048,thư ký,secretary,37
1049,1049,sẽ,"are going to, are going to be, will be",76
1050,1050,sự bắt đầu,beginning,22
1051,1051,sự ủng hộ,support,60
1052,1052,sự đồng ý,agreement,30
1053,1053,sự thay đổi,change,51
1054,1054,sự lịch sự,politeness,60
1055,1055,sự nghiêm túc,seriousness,42
1056,1056,sự thân thiện,friendliness,50
1057,1057,sự thành công,success,50
1058,1058,sự kiên nhẫn,patience,37
1059,1059,sự phức tạp,complexity,46
1060,1060,sự,(classifier),3
1061,1061,sự thật,truth,76
1062,1062,sự đơn giản,simplicity,30
1063,1063,thủ đô,capital,29
1064,1064,quốc tịch,"nationality, citizenship",54
1065,1065,ngôn ngữ,language,43
1066,1066,quốc gia,"country, national (adj), nation",31
1067,1067,văn hoá,culture,34
1068,1068,hàn quốc,South Korea,68
1069,1069,thuỵ sĩ,Switzerland,78
1070,1070,bồ đào nha,Portugal,63
1071,1071,nga,Russia,9
1072,1072,úc,"Australia, australian",80
1073,1073,ấn độ,India,29
1074,1074,cộng hoà séc,Czech Republic,34
1075,1075,Trung Quốc,China,83
1076,1076,Đức,Germany,83
1077,1077,Tây Ban Nha,"Spain, Spanish",83
1078,1078,Pháp,"French, France",83
1079,1079,không có gì,you're welcome,26
1080,1080,đợi,wait,6
1081,1081,thật không,really,36
1082,1082,vừa mới,just,41
1083,1083,nhanh lên,hurry up,73
1084,1084,đừng,"do not, don't, not",14
1085,1085,ư,(untranslated),1
1086,1086,hãy,"let's, let, please",7
1087,1087,chúc mừng,congratulate,41
1088,1088,chia buồn,"condole, condolence",65
1089,1089,tai nạn,accident,41
1090,1090,địa hình,terrain,33
1091,1091,lượng mưa,"precipitation, rainfall",71
1092,1092,thung lũng,valley,39
1093,1093,đồng bằng,plain,22
1094,1094,đảo,island,61
1095,1095,la bàn,compass,21
1096,1096,nam,"south, male, Nam",9
1097,1097,bắc,north,60
1098,1098,hướng,"direction, heading",18
1099,1099,tây,"west, western",77
1100,1100,châu,continent,13
1101,1101,á,Asian,1
1102,1102,đại dương,ocean,31
1103,1103,nam cực,antarctic,26
1104,1104,phi,Phi (proper name),74
1105,1105,âu,Europe,1
1106,1106,phía trước,"in front of, up ahead",74
1107,1107,trước khi,before,36
1108,1108,sau khi,after,36
1109,1109,trong,"inside, for, at",20
1110,1110,phía sau,behind,47
1111,1111,từ,"word, since, from",3
1112,1112,cùng,"with, the same, together",13
1113,1113,ngoài,"out, besides, at",19
1114,1114,về,"for, toward, about",4
1115,1115,ít,"little, few, some",69
1116,1116,nhất,"first, most, the most",16
1117,1117,hơn,"more, than, more than",7
1118,1118,so sánh,compare,47
1119,1119,họ hàng,"relatives, relative",68
1120,1120,chú,"uncle, you",65
1121,1121,hôn nhân,marriage,43
1122,1122,ông,grandfather,10
1123,1123,em,"you, younger brother, younger sister",67
1124,1124,bà,grandmother,1
1125,1125,gái,girl,62
1126,1126,trai,boy,17
1127,1127,chị,"sister, older sister, older sisters",5
1128,1128,thế kỷ,century,37
1129,1129,ngày sinh,"birthday, date of birth",72
1130,1130,thế hệ,generation,77
1131,1131,thiên niên kỷ,"millennium, millenniums",44
1132,1132,thập niên,decade,44
1133,1133,thu,"autumn, fall",11
1134,1134,hè,summer,68
1135,1135,mùa,"season, crop",9
1136,1136,đông,"winter, East, crowded",14
1137,1137,xuân,spring,82
1138,1138,tháng một,january,41
1139,1139,tháng tư,april,57
1140,1140,phút,"minute, minutes",75
1141,1141,tháng,"months, month, months'",19
1142,1142,giây,"second, seconds",14
1143,1143,tuổi,age,80
1144,1144,nay,"this, now",9
1145,1145,chủ nhật,sunday,44
1146,1146,giờ,"hour, hours, now",7
1147,1147,hôm nay,today,42
1148,1148,tuần,"week, weeks",80
1149,1149,thứ tư,"wednesday, fourth",57
1150,1150,thời gian,time,32
1151,1151,ngày,"date, day, days",15
1152,1152,lịch,calendar,70
1153,1153,tối nay,tonight,42
1154,1154,mỗi,"each, per, every",8
1155,1155,ngày mai,tomorrow,72
1156,1156,chiều,afternoon,18
1157,1157,tìm hiểu,"learn about, get to know, learn",33
1158,1158,đưa,"handing, handed, take",61
1159,1159,hy vọng,"hope, hopes",68
1160,1160,xuất bản,"publish, publishing",21
1161,1161,trở về,"return, get back",58
1162,1162,giao tiếp,"communicate, communicating",67
1163,1163,hôn,kiss,7
1164,1164,thảo luận,"discuss, discusses, discussing",39
1165,1165,thử thách,"challenge, challenges",50
1166,1166,ôm,hug,74
1167,1167,bật,"turn on, on",4
1168,1168,tắt,"off, turn off, close",11
1169,1169,dừng,"stop, stops",14
1170,1170,sản xuất,"produce, producing, produces",76
1171,1171,nhìn,look,16
1172,1172,bảo vệ,"protect, protects",58
1173,1173,phát minh,"invent, invention, invents",74
1174,1174,phân biệt,distinguish,23
1175,1175,hiểu,"understand, understood, understands",68
1176,1176,gửi,"send, sends",7
1177,1177,tặng,"gifts, gift, gift (verb)",17
1178,1178,tin,"believe, trust",78
1179,1179,cố gắng,"try, try (+ to infinitive), tries",60
1180,1180,thắng,"win, defeat, wins",19
1181,1181,thành công,"successful, succeed, success",26
1182,1182,thất bại,"fail, failure",21
1183,1183,đồng ý,"agree, agrees",67
1184,1184,thay đổi,"change, changes",30
1185,1185,tồn tại,"exist, exists, existing",49
1186,1186,cho phép,"allow, allows, let",65
1187,1187,cuối cùng,"finally, last, final",26
1188,1188,đầu tiên,first,66
1189,1189,thứ,"things, thing, stuff",11
1190,1189,thứ,"things, thing, stuff",11
1191,1190,lần,"time, times, turns",8
1192,1191,vào,"to go into, for, into",80
1193,1192,đang,"is, am, (action is taking place)",13
1194,1193,lúc này,"now, this moment, right now",42
1195,1194,bây giờ,"now, moment, it",32
1196,1195,hiện tại,"now, moment, currently",49
1197,1196,nên,"ought, then, so",9
1198,1197,trước,"ago, in front of, before",20
1199,1198,nhưng,"but, however",19
1200,1199,mà còn,"not only... but also, but also",71
1201,1200,đều,"both of, all, both",66
1202,1201,cả,"all, both, all over",1
1203,1202,tuy,"although, however, despite",11
1204,1203,nếu,if,72
1205,1204,trong khi,while,36
1206,1205,thì,"is, am, then",77
1207,1206,khi nào,"when, when does, when are",41
1208,1207,hoặc,"or, either...or",68
1209,1208,bởi vì,because,59
1210,1209,tổng cộng,"totally, in total",26
1211,1210,số,number,3
1212,1211,nửa,half,73
1213,1212,đủ,enough,2
1214,1213,tỷ,billion,80
1215,1214,triệu,"million, millions",20
1216,1215,lẻ,(used at hundred level),2
1217,1216,mốt,"one (for 21 or higher), vogue, one",8
1218,1217,lăm,"five (for 15 or higher), five",7
1219,1218,nhiều,"lots, many, various",19
1220,1219,tư,"private, four (for 24 or higher), four",3
1221,1220,mười,ten,15
1222,1221,chín,"nine, 9",13
1223,1222,tám,eight,10
1224,1223,bảy,seven,4
1225,1224,sáu,"six, sixth",10
1226,1225,trưởng thành,"mature, adult",50
1227,1226,tiện lợi,convenient,39
1228,1227,ích kỷ,selfish,37
1229,1228,nặng,heavy,72
1230,1229,thân thiện,friendly,52
1231,1230,lịch sự,polite,48
1232,1231,tệ,bad,77
1233,1232,truyền thống,"traditional, tradition",52
1234,1233,sai,wrong,76
1235,1234,buồn,"are sad, sorry, was sad",12
1236,1235,bướng bỉnh,stubborn,23
1237,1236,nghiêm túc,serious,57
1238,1237,tích cực,positive,26
1239,1238,lạc quan,optimistic,46
1240,1239,dài,long,66
1241,1240,ngắn,short,72
1242,1241,hiện đại,modern,27
1243,1242,hoàn hảo,perfect,33
1244,1243,độc lập,"independent, independence",38
1245,1244,nghèo,poor,19
1246,1245,nguy hiểm,dangerous,33
1247,1246,xa xỉ,luxurious,82
1248,1247,mới,new,8
1249,1248,cũ,"are old, old, former",2
1250,1249,cần thiết,necessary,64
1251,1250,kiên nhẫn,patient,43
1252,1251,đắt,expensive,6
1253,1252,trung thực,honest,54
1254,1253,quan trọng,"is important, important, was important",75
1255,1254,hài hước,"humorous, funny",35
1256,1255,chậm,"slow, slowly (when placed after verb), late",12
1257,1256,hạnh phúc,"happiness, happy",46
1258,1257,đơn giản,simple,32
1259,1258,nhanh,"fast, (can be adjective or adverb)",19
1260,1259,phức tạp,complicated,49
1261,1260,nhỏ,"small, little",9
1262,1261,lớn,"large, big, great",70
1263,1262,dễ,easy,2
1264,1263,đặc biệt,"special, especially",23
1265,1264,ngon,"delicious, deliciously",72
1266,1265,khó,"hard, difficult",69
1267,1266,đậm,"dark, deep",6
1268,1267,hồng,pink,68
1269,1268,vàng,"yellow, gold",17
1270,1269,nhạt,light,16
1271,1270,tím,"purple, violet",11
1272,1271,nâu,brown,9
1273,1272,xám,"gray, grey",12
1274,1273,xanh lá cây,green,37
1275,1274,xanh da trời,blue,27
1276,1275,đỏ,red,2
1277,1276,đen,black,6
1278,1277,trắng,white,20
1279,1278,màu,color,8
1280,1279,hỏi,"ask, asks",7
1281,1280,đáp án,answer,20
1282,1281,câu,sentence,5
1283,1282,trả lời,"answer, respond, answers",39
1284,1283,như,"like, as",73
1285,1284,thế nào,"how, how were, how was",41
1286,1285,làm sao,how,70
1287,1286,bao,bag,4
1288,1287,ví,"wallet, purse",4
1289,1288,pin,battery,75
1290,1289,thuốc lá,tobacco,37
1291,1290,túi,bag,11
1292,1291,đèn,"light, lamp",6
1293,1292,điện thoại,"phone, telephone",52
1294,1293,tivi,"television, televisions, tv",78
1295,1294,máy tính,computer,55
1296,1295,gương,"mirror, example",18
1297,1296,đồng hồ,"watch, clock",34
1298,1297,cửa sổ,"window, windows",48
1299,1298,muỗng,spoon,19
1300,1299,chai,"bottle, bottles",64
1301,1300,giường,bed,67
1302,1301,đứng,"stand, stands, stand/stands",14
1303,1302,ngồi,"sit, sits, sitting",15
1304,1303,để,"for, let, lets",2
1305,1304,nhảy,"jump, dance, jumps",73
1306,1305,bắt đầu,"begin, start, starts",27
1307,1306,nghĩ,"think, thinks",72
1308,1307,múa,"dance, dances, dance/dances (verb)",9
1309,1308,hát,"sing, sings, singing",7
1310,1309,ủng hộ,"supports, support",34
1311,1310,xem,"watching, look at, watched",12
1312,1311,chạy,"run, runs, running",13
1313,1312,việc,"work, business, job",81
1314,1313,làm,"to be, has worked as, do on",7
1315,1314,lấy,"takes, take, get",70
1316,1315,tìm,"looking for, find, look for",11
1317,1316,bơi,"swim, swims, swimming",4
1318,1317,giúp,"help, helps",67
1319,1318,mở,"open, opens, turn on",3
1320,1319,chơi,"play, plays, playing",65
1321,1320,luyện,"practices, practice",71
1322,1321,bộ,"(classifier for clothes), (classifier for sets), board",1
1323,1322,bán,"sell, sells",4
1324,1323,lắng nghe,"listen, listens, listening",42
1325,1324,dùng,"use, using, uses",14
1326,1325,cười,"smile, smile/smiles, laugh/laughs",13
1327,1326,khóc,"crying, cries, cry/cries",14
1328,1327,ngủ,"sleep, slept, sleeps",72
1329,1328,thử,"try, tries, try (sth) on",11
1330,1329,viết,"write, writes",17
1331,1330,nghe,"listen, hear/hears, listens",15
1332,1331,thấy,"see, find (limited context), sees",77
1333,1332,gì,"what, what are, what is",62
1334,1333,khi,"when, as, on",7
1335,1334,sao,"what, what do, why",10
1336,1335,tại,"at, in",10
1337,1336,vì,"because, for, because of",4
1338,1337,nào,"let's, any, what kind of",9
1339,1338,ai,"whom, who, anyone",63
1340,1339,trứng,egg,20
1341,1340,chay,"vegetarian, vegan",13
1342,1341,mì ý,pasta,15
1343,1342,cà chua,"tomato, tomatoes",25
1344,1343,khoai tây chiên,"chips, French fries",49
1345,1344,thịt,meat,77
1346,1345,mì ăn liền,instant noodles,20
1347,1346,muối,"salt, salty",15
1348,1347,nấm,mushroom,9
1349,1348,ớt,"chili, peppers, chilli",74
1350,1349,rau,"vegetable, vegetables",75
1351,1350,bữa,"meals, meal",5
1352,1351,trưa,noon,79
1353,1352,chanh,lemon,18
1354,1353,chuối,"banana, bananas",18
1355,1354,trái cây,fruit,79
1356,1355,tối,"dark, evening, night",11
1357,1356,canh,soup,12
1358,1357,thức ăn,food,20
1359,1358,dầu ăn,cooking oil,20
1360,1359,rượu,"alcohol, wine",16
1361,1360,thắt lưng,belt,39
1362,1361,áo lạnh,sweater,38
1363,1362,khăn quàng,"scarf, scarves",46
1364,1363,tất,socks,11
1365,1364,ủng,boots,80
1366,1365,đôi,"two, pair of, pairs",6
1367,1366,giày,"shoes, shoe, the shoes",14
1368,1367,đội,"wears, the team, team",6
1369,1368,quần,"pants, trousers",16
1370,1369,mang,"is, wears, carrying",15
1371,1370,mũ,hat,3
1372,1371,váy,skirt,12
1373,1372,cởi,take off,65
1374,1373,mặc,"wear, wears",71
1375,1374,áo,shirt,1
1376,1375,đầm,dress,6
1377,1376,khỉ,monkey,7
1378,1377,voi,elephant,12
1379,1378,chuột,mouse,18
1380,1379,ngựa,horse,72
1381,1380,trâu,buffalo,17
1382,1381,heo,pig,68
1383,1382,rùa,"turtle, tortoise",10
1384,1383,rồng,dragon,16
1385,1384,cá sấu,alligator,47
1386,1385,chim,bird,13
1387,1386,chuồn chuồn,dragonfly,25
1388,1387,thỏ,"rabbit, rabbits, bunny",11
1389,1388,gấu,bear,62
1390,1389,rắn,snake,75
1391,1390,bò,"ox, cow, bull",1
1392,1391,vịt,duck,12
1393,1392,động vật,"animals, animal",58
1394,1393,sở thú,zoo,53
1395,1394,trái,"(classifier for fruits), the, left",17
1396,1395,quả,"(classifier), fruit",10
1397,1396,tờ,sheet,79
1398,1397,cuốn,"classifier of documents and stories, the, roll",66
1399,1398,hẹn gặp lại,"see you later, see you again, see you",68
1400,1399,lặp lại,"repeat, repeats",38
1401,1400,cẩn thận,"be careful, look out, carefully",50
1402,1401,cứ tự nhiên,help yourself,57
1403,1402,làm ơn,please,44
1404,1403,việt,Vietnamese,17
1405,1404,bình thường,"normal, usual",54
1406,1405,buổi,"the, session",60
1407,1406,vẫn,"yet, still",80
1408,1407,ổn,fine,74
1409,1408,chào mừng,welcome,41
1410,1409,tên,"name, first name, title",77
1411,1410,tạm biệt,"goodbye, bye",23
1412,1411,không phải là,"not, wasn't, am not",44
1413,1412,cam,orange,5
1414,1413,nó,"he, it's, it",3
1415,1414,việt nam,"Vietnam, Vietnamese",81
1416,1415,hay,"well, in ... or, interesting",7
1417,1416,ly,"cup, cups, glass",2
1418,1417,gọi,"orders, call, order (food)",7
1419,1418,cơm,rice,65
1420,1419,tạp chí,magazine,24
1421,1420,đĩa,"dish, plate",66
1422,1421,họ,"they, they are, they're",68
1423,1422,thực đơn,menu,30
1424,1423,bánh,"cake, cookie, pie",12
1425,1424,báo,"newspaper, journal, paper",4
1426,1425,đọc,"read, reads",67
1427,1426,tập,practice,76
1428,1427,ngã,fall,9
1429,1428,vĩnh viễn,forever,59
1430,1429,vẽ,"draw, draws, drawing",4
1431,1430,mẫu giáo,kindergarten,32
1432,1431,dũng cảm,"brave, courageous",24
1433,1432,giàu,rich,14
1434,1433,sợi dây,string,28
1435,1434,thư,letter,11
1436,1435,tờ giấy,paper,32
1437,1436,giấu,hide,14
1438,1437,phòng,room,74
1439,1438,ghế,chair,62
1440,1439,ghi âm,"record, records",67
1441,1440,phường,ward,75
1442,1441,phà,ferry,74
1443,1442,mây,cloud,8
1444,1443,chim sẻ,sparrow,65
1445,1444,chia sẻ,share,65
1446,1445,sấm sét,thunder,76
1447,1446,đom đóm,firefly,67
1448,1447,xe đạp,"bike, bicycle",82
1449,1448,cây tre,bamboo,56
1450,1449,đu đủ,papaya,18
1451,1450,dì,aunt,2
1452,1451,dê,goat,2
1453,1452,đu quay,ferris wheel,47
1454,1453,ô,umbrella,1
1455,1454,nhà ga,train station,73
1456,1455,găng tay,glove,49
1457,1456,dơ,dirty,2
1458,1457,dơi,bat,67
1459,1458,an,An (proper name),1
1460,1459,cắn,bite,5
1461,1460,gà,chicken,62
1462,1461,ong,bee,10
1463,1462,cá,fish,1
1464,1463,ca,"mug, shift",1
1465,1464,cái,"the, a, (classifier)",64
1466,1465,các,(indicates plurality),64
1467,1466,mình,"I'm, I, herself",15
1468,1467,kia,"that, those, other",70
1469,1468,cô gái,"the girl, girl, girls",60
1470,1469,cậu bé,"boy, The boy",64
1471,1470,bé gái,girl,63
1472,1471,táo,apple,76
1473,1472,uống,"drink, has, drinks",80
1474,1473,nước ép,juice,74
1475,1474,đàn ông,"men, man",66
1476,1475,phụ nữ,"woman, women, female",75
1477,1476,đứa trẻ,"kid, child",56
1478,1477,bánh mì,bread,41
1479,1478,gia đình,family,29
1480,1479,mèo,cat,71
1481,1480,chó,dog,5
1482,1481,con,"little, kid, child",5
1483,1482,ghét,"hate, hates, hated",67
1484,1483,con gái,"daughter, girl",83
1485,1484,vợ,"wife, spouse",81
1486,1485,chồng,"husband, husbands",18
1487,1486,con trai,"son, boy",83
1488,1487,em gái,younger sister,83
1489,1488,diễn,"show, perform, action",83
1490,1489,em trai,younger brother,83
1491,1490,diễn viên hài,comedian,59
1492,1491,yêu,"love, loves, loving",82
1493,1492,người mẫu,"model, models",83
1494,1493,bố mẹ,parents,41
1495,1494,đứa con,"child, children, baby",83
1496,1495,nấu ăn,"cook, cooks, cooking",83
1497,1496,sinh viên,"student, the students, students",83
1498,1497,nấu,"to cook, cook, cooking",9
1499,1498,trở thành,"become, get, becoming",50
1500,1499,đô,dollar,83
1501,1500,trăm,hundred,79
1502,1501,mua,buy,9
1503,1502,đi nào,let's go,83
1504,1503,đồng,"VND, dong, bronze",14
1505,1504,mua sắm,"shop, shopping",83
1506,1505,đi,"travel, wear (refers to shoes), to go",2
1507,1506,nghìn,"thousand, thousands, 1000",19
1508,1507,chiếc váy,skirt,83
1509,1508,đẹp,"beautiful, pretty",61
1510,1509,chiếc áo,shirt,83
1511,1510,rẻ,cheap,3
1512,1511,thật,"real, so, really",77
1513,1512,đắt tiền,expensive,83
1514,1513,cửa hàng,store,83
1515,1514,quá,"too, so, very",10
1516,1515,này,"this, these, hey",9
1517,1516,ga,"station, gas",84
1518,1517,trạm,"station, stations",84
1519,1518,đặt chỗ,"make a reservation, reservation",84
1520,1519,biết,"knows, know, knowing",63
1521,1520,không,"do not, no, weren't",18
1522,1521,xe buýt,bus,82
1523,1522,cần,"need, require/requires (verb), need/needs (verb)",5
1524,1523,sân bay,"airport, airports",76
1525,1524,vé,ticket,4
1526,1525,xe taxi,"taxi, taxis, (a) taxi",84
1527,1526,tàu hoả,train,34
1528,1527,máy bay,"airplane, plane",71
1529,1528,bay,"flies, blown, fly",4
1530,1529,bằng,"with, as, equals",12
1531,1530,cảm ơn,"thanks, thank you",44
1532,1531,đi du lịch,"travelling, traveling, travel",84
1533,1532,từ điển,"dictionary, dictionaries",28
1534,1533,rất,"extremely, very much, so",75
1535,1534,vở,notebook,84
1536,1535,quyển,"the, (classifier)",19
1537,1536,sách,book,76
1538,1537,đúng,right,14
1539,1538,câu trả lời,answer,84
1540,1539,thông minh,"smart, intelligent",78
1541,1540,tốt,"well, fine, great",11
1542,1541,câu hỏi,question,84
1543,1542,bạn học,classmate,84
1544,1543,bọn họ,they,84
1545,1544,cũng,"too, also, as well",13
1546,1545,học sinh,student,68
1547,1546,ngôi trường,school,84
1548,1547,học,"school, take lessons, to learn",68
1549,1548,khách sạn,"hotel, hotels",47
1550,1549,làm việc,"work, working, works",84
1551,1550,nhà vệ sinh,bathroom,84
1552,1551,món,"dish, kind, (indicates item of food)",8
1553,1552,ngân hàng,bank,72
1554,1553,nổi tiếng,"famous, popular",73
1555,1554,đó,"that, those, there",2
1556,1555,cho tôi hỏi,excuse me,84
1557,1556,nhà hàng,restaurant,73
1558,1557,đâu,"where, where is ... ?, which",6
1559,1558,ở đâu,"where, where does ... ?, where is ... ?",84
1560,1559,căn nhà,house,84
1561,1560,sống,"alive, live, living",17
