vi,en,lesson
tuy nhiên,however,44
tuyệt đối,absolute,30
tuyệt vời,great,59
văn phòng,office,45
vĩnh viễn,permanent,59
vững chắc,strong,81
xuất hiện,appear,33
xuất khẩu,export,35
xứng đáng,worthy,27
bằng chứng,proof,25
bất thường,abnormal,54
biểu tượng,icon,57
bồ đào nha,Portugal,63
bộ sưu tập,collection,48
bướng bỉnh,stubborn,23
căng thẳng,stress,50
cạnh tranh,compete,64
câu chuyện,story,25
cầu nguyện,pray,43
chất lượng,quality,40
chiến dịch,campaign,28
chiến lược,strategy,40
chính sách,policy,65
chính thức,official,54
chứng minh,prove,65
chuyến bay,flight,65
dân thường,civilian,54
doanh nhân,businessmen,43
doanh trại,barracks,56
điện thoại,phone,52
định nghĩa,define,42
được không,is that okay,36
giải quyết,handle,47
giải thích,explain,62
giới thiệu,introduce,52
hành trình,trip,68
hiện tượng,phenomena,57
hình thành,form,50
huy chương,medal,25
khách hàng,client,69
khăn quàng,scarf,46
khẳng định,confirm,29
khối lượng,mass,40
không được,impossible,31
không gian,space,32
không phải,not,44
không quân,air force,46
kinh doanh,business,29
lan truyền,spread,70
lang thang,wandering,50
loài người,human,43
lời nguyền,curse,43
lười biếng,lazy,22
mất sổ gạo,lost rice book,48
mì ăn liền,instant noodles,20
mối đe doạ,threat,28
môi trường,environment,71
năng lượng,energy,40
nghệ thuật,art,72
nghiêm túc,serious,57
nghiên cứu,study,26
nhà sử học,historian,48
nhanh nhẹn,agile,73
phải không,right?,36
phát triển,develop,74
phép thuật,magic,74
phía trước,front,74
phong cách,style,74
phong kiến,feudal,37
phóng viên,reporter,59
quan trọng,important,75
quen thuộc,familiar,75
quyết định,decision,29
siêng năng,hard-working,41
sự bắt đầu,start,22
sự cố gắng,effort,26
sự giàu có,wealth,32
sự lịch sự,polite,60
tàu vũ trụ,spacecraft,59
tham nhũng,corruption,77
thân thiện,friendly,52
thần thoại,myth,52
thành công,success,26
thành tích,achievement,54
thành viên,member,59
thật không,really,36
thí nghiệm,experiment,42
thị trưởng,mayor,77
thị trường,market,77
thiên thần,angel,50
thiết giáp,armor,32
thổ nhĩ kỳ,Türkiye,78
thoả thuận,agreement,78
thời trang,fashion,56
thông minh,smart,78
thống nhất,unified,78
thức khuya,stay up late,78
thung lũng,valley,39
tình huống,situation,35
tổng thống,president,52
trận chiến,battle,25
trạng thái,status,79
trống đồng,copper drum,30
trống rỗng,empty,79
trực thăng,helicopter,50
trực tuyến,online,79
trừng phạt,punish,45
trung quốc,China,79
trung thực,honest,54
trường hợp,case,35
vinh quang,glory,46
xe cấp cứu,ambulance,24
xung quanh,around,46
bất lịch sự,impolite,60
bình thường,normal,54
bóng chuyền,volleyball,25
chấn thương,injury,54
chiến thắng,win,50
chiến thuật,tactics,65
chiến tranh,war,65
cho đến khi,until,28
chứng khoán,stock,36
chuồn chuồn,dragonfly,25
công nghiệp,industrial,42
cứ tự nhiên,just naturally,57
cuộc bầu cử,election,22
đa quốc gia,multinational,61
đại sứ quán,embassy,48
đồng nghiệp,colleague,42
giải thưởng,prize,54
hệ mặt trời,solar system,40
hẹn gặp lại,see you again,68
khoảng cách,distance,69
không có gì,nothing,26
khủng hoảng,crisis,34
kinh nghiệm,experience,42
mạng xã hội,social network,71
mối quan hệ,relationship,46
nghề nghiệp,career,42
nguyên nhân,reason,43
phòng khách,living room,74
phương pháp,method,45
quán cà phê,cafe,23
run lập cập,trembling,38
sự điều trị,treatment,28
sự đơn giản,simplicity,30
sự lựa chọn,option,39
sự phức tạp,complexity,46
sự thay đổi,change,51
tây ban nha,Spain,21
thiên đường,heaven,31
thiên nhiên,nature,44
thiên thạch,meteorite,50
thợ làm tóc,hairdresser,38
trách nhiệm,responsibility,44
trọng lượng,weight,40
truyện kiều,foreign stories,37
tuyên chiến,declare war,25
ứng cử viên,candidate,26
vịnh bắc bộ,Gulf of Tonkin,81
xanh lá cây,green,37
bác sĩ thú y,veterinarian,60
bài diễn văn,speech,28
bài kiểm tra,test,37
bóng bầu dục,rugby,22
chiều chuộng,coddle,25
chức vô địch,championship,59
chương trình,programme,65
cộng hoà séc,Czech Republic,34
đánh giá cao,appreciate,31
kiến trúc sư,architect,60
múa rối nước,water puppet,72
năm ánh sáng,light year,21
nền văn minh,civilization,58
ngay lập tức,right away,38
nghiêm trọng,serious,72
người tị nạn,refugee,72
nhà khoa học,scientist,36
nhà lãnh đạo,leader,38
nhà thiết kế,designer,73
nhà toán học,mathematician,56
niềm hy vọng,hope,73
quảng trường,square,75
sân vận động,stadium,58
sự kiên nhẫn,patience,37
sự phân tích,analysis,44
thẻ tín dụng,credit card,55
thường xuyên,frequent,78
tính thực tế,reality,54
toàn cầu hoá,globalization,60
trạm xe buýt,bus station,60
trụ sở chính,head office,48
trưởng thành,mature,50
truyền thống,traditional,52
truyền thông,media,52
tuyên truyền,propagate,80
xanh da trời,blue,27
bất bình đẳng,inequality,23
bất kỳ cái gì,whatever,37
buổi hoà nhạc,concert,34
chính trị gia,politician,56
chuyên nghiệp,professional,42
cơ sở hạ tầng,infrastructure,48
cuộc xung đột,conflict,66
diễn viên hài,comedian,59
đánh giá thấp,underwrite,31
không bao giờ,never,22
không phải là,is not,44
máy tính bảng,tablet,55
nhà triết học,philosopher,73
sao hải vương,Neptune,33
sự nghiêm túc,seriousness,42
sự thân thiện,friendliness,50
sự thành công,success,50
thiên niên kỷ,Millennium,44
thiên văn học,astronomy,58
thuyền trưởng,captain,78
tính nhân đạo,humanity,43
truyền thuyết,legend,80
vận động viên,athlete,30
viêm màng túi,membrane inflammation,40
ăn cháo đá bát,eat porridge and kick the bowl,63
cuộc phiêu lưu,adventure,45
cuộc phỏng vấn,interview,45
kính viễn vọng,telescope,59
nhà nghiên cứu,researcher,42
sao diêm vương,Pluto,28
thức trắng đêm,stay up all night,56
chế độ ăn kiêng,diet,29
cơ học lượng tử,quantum mechanics,60
huấn luyện viên,coach,68
khoai tây chiên,French fries,49
nghiên cứu sinh,graduate students,26
sao thiên vương,Uranus,52
thông dịch viên,interpreter,28
bài thuyết trình,presentation,63
công cụ tìm kiếm,search engine,26
phòng thí nghiệm,laboratory,51
người chiến thắng,winter,25
danh lam thắng cảnh,landscape,38
trường hợp khẩn cấp,emergency,35
trung tâm thương mại,shopping mall,49
